What if I have missed a lecture?,The recordings for all the classes will be available in the dashboard. The candidate is most welcome to join any of the batches. Also the candidate can reach out for help regarding any issues.
is there any recordings for the live sessions,All sessions will be recorded and will be provided for revision as per the convenience of the candidate.
If I missed some classes; then can it be rescheduled for me?,All sessions will be recorded and will be provided for revision as per the convenience of the candidate.
what happens if I miss some of my topics?,All sessions will be recorded and will be provided for revision as per the convenience of the candidate. And you can ask your doubts in the doubt clearing session as well.
What if I miss classes?,All sessions will be recorded and will be provided for revision as per the convenience of the candidate.
what if we have some problem and we didn't attend class?,All sessions will be recorded and will be provided for revision as per the convenience of the candidate.
Is mentors will upload video after live class?,The course fees for various courses are as follows:Data Science Masters: INR 40000 +GST;Machine Learning Masters: INR 3000 +GST;Deep Learning Masters: INR 3000 +GST;NLP Masters: INR 3000 +GST
Will recordings be available to revise some of the sessions?,The course fees for various courses are as follows:Data Science Masters: INR 40000 +GST;Machine Learning Masters: INR 3000 +GST;Deep Learning Masters: INR 3000 +GST;NLP Masters: INR 3000 +GST
machine learning course fee,The course fees for various courses are as follows:Data Science Masters: INR 40000 +GST;Machine Learning Masters: INR 3000 +GST;Deep Learning Masters: INR 3000 +GST;NLP Masters: INR 3000 +GST
what is fee for nlp masters,The course fees for various courses are as follows:Data Science Masters: INR 40000 +GST;Machine Learning Masters: INR 3000 +GST;Deep Learning Masters: INR 3000 +GST;NLP Masters: INR 3000 +GST
what is the fees structure,An email with your details have already been sent to the support team. They are going to contact you soon.
fees?,The course fees for various courses are as follows:Data Science Masters: INR 40000 +GST;Machine Learning Masters: INR 3000 +GST;Deep Learning Masters: INR 3000 +GST;NLP Masters: INR 3000 +GST
What is the next batch schedule?,The course fees for various courses are as follows:Data Science Masters: INR 40000 +GST;Machine Learning Masters: INR 3000 +GST;Deep Learning Masters: INR 3000 +GST;NLP Masters: INR 3000 +GST
What is the course fees?,We'll provide referral to the candidates. We have our own custom portal where you can search for jobs.The link is:  https://jobs.ineuron.ai
course fees?,We'll provide referral to the candidates. We have our own custom portal where you can search for jobs.The link is:  https://jobs.ineuron.ai
What about job?,We'll provide referral to the candidates. We have our own custom portal where you can search for jobs.The link is:  https://jobs.ineuron.ai
What about placement assistance?,There  won't be a separate demo class for individual candidate. However you can check our youtube channel for class recordings and you'll have a fair idea of our teaching methods.YouTube Link: https://www.youtube.com/channel/UCb1GdqUqArXMQ3RS86lqqOw/videos
What about job support,We have projects with almost all the prominent idustry domains like insurane;healthcare;Banking & Finance; Security and Survellance etc.
I want to take a demo class,Many industry level projects shall be discussed in the class and many shall be given to you to solve on your own
In which domain we will get projects,Many industry level projects shall be discussed in the class and many shall be given to you to solve on your own
List of projects,The list of the courses and durations for various courses are:Data Science Masters:  6 Months course+ 3 Months Projects;Machine Learning Masters: 4 Months course+ Project Discussions;Deep Learning Masters: 4 Months course+ Project Discussions;NLP Masters: 4 Months course+ Project Discussions
Which projects will be discussed?,Support after class shall be provided in terms of doubt clearing; different software installation or any other course-related issue that you might face during the course.There will be dedicated doubt clearing sessions. You can send email to instructors from the student dashboard as well.
What is the course duration?,Support after class shall be provided in terms of doubt clearing; different software installation or any other course-related issue that you might face during the course.There will be dedicated doubt clearing sessions. You can send email to instructors from the student dashboard as well.
What about doubt clearing?,Support after class shall be provided in terms of doubt clearing; different software installation or any other course-related issue that you might face during the course.There will be dedicated doubt clearing sessions. You can send email to instructors from the student dashboard as well.
How are we going to clear our doubts?,Support after class shall be provided in terms of doubt clearing; different software installation or any other course-related issue that you might face during the course.There will be dedicated doubt clearing sessions. You can send email to instructors from the student dashboard as well.
What if we have doubts?,You can contact the support team. They値l assist you in getting different batch.
What about after class support?,"An EMI option is available only for the Data Science masters course. You can avail a Zero Cost EMI for 6 months if ;1)	You live in any of the 5 cities: New Delhi; Mumbai; Kolkata; Bangalore; Chennai.;2)	You have an HDFC or ICICI credit card.;3)            You have a monthly income more than INR 15000"
What if I am not comfortable with the timings and I want to change the batch?,A certificate is issued to the candidates scoring at least an overall 60 %. 
What are the EMI options available?,Yes. We値l be more than willing to help you with all the hurdles.
What is the cut-off to get a certificate?,Yes. We値l help you build your resume based on the domain you have already worked in.
Will you provide support for my own custom project?,Yes. We値l help you build your resume based on the domain you have already worked in.
Do you help us in resume building?,Both paid and unpaid internships are available with us. The selection for the internship will solely depend on your interview result.
Will you help with my resume preparation and discussion?,Both paid and unpaid internships are available with us. The selection for the internship will solely depend on your interview result.
What are the internship opportunities?,Both paid and unpaid internships are available with us. The selection for the internship will solely depend on your interview result.
Do you provide internship opportunities?,We値l have at least 3 Mock interviews for each candidate to prepare them for a job interview.
Can I get an internship after the course completion?,We値l have at least 3 Mock interviews for each candidate to prepare them for a job interview.
What about interview preparation?,We値l have at least 3 Mock interviews for each candidate to prepare them for a job interview.
Do you help with interview preparations?,No. Currently we are not offering any scholarships.
Are there any mock interview sessions?,No. Currently we are not offering any scholarships.
Fees concession?,No. Currently we are not offering any scholarships.
Is any discount?,No. Currently we are not offering any scholarships.
any discount,No. Currently we are not offering any scholarships.
Any concession,No. Currently we are not offering any scholarships.
Do you provide scholarship as well?,The course caters to the needs of both absolute beginners and the knowledged ones. We値l start from scratch and then take it to the level where the candidates are ready for job interviews.
Are there any scholarships available?,The syllabus of the course covers all the concepts which are required for cracking an interview and landing a job.
What will be the level of the course?,"The primary skills are:1.	Basic analytical ability;2.	A mathematical approach to the problem at hand;3.	EDA to build intuition from data;4.	Concepts of deep learning ;5.	Concepts of NLP;6.	Model deployments"
Is this course sufficient for getting a job?,We値l help you to showcase relevant projects based on your previous experience and help you with resume and interview preparation. With all this you値l definitely be in a position to change jobs.
What are the skills required for a data scientist?,We値l help you to showcase relevant projects based on your previous experience and help you with resume and interview preparation. With all this you値l definitely be in a position to change jobs.
How will I do a transition from my current field to data science?,We値l help you to showcase relevant projects based on your previous experience and help you with resume and interview preparation. With all this you値l definitely be in a position to change jobs.
How will you help with my career transition?,We値l help you to showcase relevant projects based on your previous experience and help you with resume and interview preparation. With all this you値l definitely be in a position to change jobs.
I am from different background. Is data science masters course good for me or not,There are no prerequisites as such. We値l start from scratch assuming that the candidates are entirely new to the filed and then we値l build the concepts from the beginning itself.
Is it possible to do a career transition if I have work experience in another domain?,This course is conducted in python 3.X version.
What are the prerequisites for attending this course?,This course is conducted in python 3.X version.
Which programming language are you using for the course?,This course is conducted in python 3.X version.
In which language the course is taught?,Python is used because it has a more extensive set of libraries for both Machine Learning and Deep Learning compared to R.
Are you going to use Python or R?,A mathematical background is not required. We値l explain all the mathematics involved thoroughly.
Why are you using Python instead of R for this course?,A mathematical background is not required. We値l explain all the mathematics involved thoroughly.
Is a mathematical background required for taking the course?,A degree in statistics is not mandatory to become a data scientist.
What is the mathematical background needed for the course?,The assumption for the course is that the attendees do not know programming at all. We値l start right from the scratch for all the concepts.
Do I need a degree in Statistics to become a data scientist?,The assumption for the course is that the attendees do not know programming at all. We値l start right from the scratch for all the concepts.
What is the course Structure?,The assumption for the course is that the attendees do not know programming at all. We値l start right from the scratch for all the concepts.
what is ML master course structure?,The assumption for the course is that the attendees do not know programming at all. We値l start right from the fundamental of programming.
how are the courses designed?,The assumption for the course is that the attendees do not know programming at all. We値l start right from the fundamental of programming.
Is previous programming experience required for attending the course?,"We shall cover deployment to the following Cloud service providers:1.	Google Cloud Platform;2.	Microsoft Azure;3.	AWS;4.	Pivotal;5.	Heroku "
Do I need to be good at programming to attend the course?,The list of the algorithms is already mentioned in the syllabus already sent to you. We値l cover all the industry-leading algorithm s and libraries.
What are the deployment topics covered?,The list of the algorithms is already mentioned in the syllabus already sent to you. We値l cover all the industry-leading algorithm s and libraries.
What algorithms are part of the course?,There are no such requirements. The selection shall depend on your performance in the interview.
Which algorithms are you going to cover?,There are no such requirements. The selection shall depend on your performance in the interview.
Is a Masters or Doctorate required to become a data scientist?,The learning rate varies from person to person. But around 2 hours daily shall suffice.
Is an M.Tech or PhD required to become a data scientist?,Our suggestion would be to cover ML first and then go for DL. But there is no such dependency. You can take the course in any order.
How many hours do I need to study daily?,"Following are the reasons that set us apart:1.	The quality of the content delivered. You won稚 find many of the contents that we teach with any of our contemporaries.;2.	We teach till production deployment- Our USP;3.	We値l help you even with your custom projects;4.	We値l conduct mock interviews and resume discussion for each of the candidates based on their skills- an industry first.;5.	We provide job alerts and referrals.;6.	We provide internship opportunities.;7.	And the list just goes on�"
Which course should I take first? ML or DL?,Our suggestion would be to cover ML first and then go for DL. But there is no such dependency. You can take the course in any order.
How is iNeuron different from others?,Our suggestion would be to cover ML first and then go for DL. But there is no such dependency. You can take the course in any order.
First I should go for Machine learning or Deep learning?,Our suggestion would be to cover ML first and then go for DL. But there is no such dependency. You can take the course in any order.
How are you better than other institutes?,We have both online and offline batches. You can join any one of them as per your convenience.
What is better? ML masters or DL masters?,We have both online and offline batches. You can join any one of them as per your convenience.
if i want to join offline?,We have both online and offline batches. You can join any one of them as per your convenience.
if i want to join online?,We have both online and offline batches. You can join any one of them as per your convenience.
Are there any offline batches?,iNeuron provides the best service to our clients in terms of product development. Similarly providing the best education to our beloved students we are here to drive a positive change in the best interest of all.
Are there any online batches?,We have a proven track record. iNeuron provides the best service to our clients in terms of product development. Similarly providing the best education to our beloved students we are here to drive a positive change in the best interest of all.
Tell me about iNeuron?,iNeuron provides the best service to our clients in terms of product development. Similarly providing the best education to our beloved students we are here to drive a positive change in the best interest of all.
Is it an actual company or fake?,An email has been sent to the Support Team with your contact information. You'll be contacted soon.
What does iNeuron do?,An email has been sent to the Support Team with your contact information. You'll be contacted soon.
What is deep learning masters?,Weekly there shall be 3 classes. 2 Theory and 1 doubt clearing
What is Machine learning masters?,Weekly there shall be 3 classes. 2 Theory and 1 doubt clearing
How many classes will be there in a week?,"An EMI option is available only for the Data Science masters course. You can avail a Zero Cost EMI for 6 months if 1)	You live in any of the 5 cities: New Delhi; Mumbai; Kolkata; Bangalore; Chennai.;2)	You have an HDFC or ICICI credit card.;3)            You have a monthly income more than INR 15000"
How many classes will be there per week?,"An EMI option is available only for the Data Science masters course. You can avail a Zero Cost EMI for 6 months if 1)	You live in any of the 5 cities: New Delhi; Mumbai; Kolkata; Bangalore; Chennai.;2)	You have an HDFC or ICICI credit card.;3)            You have a monthly income more than INR 15000"
Is there any installment?,"An EMI option is available only for the Data Science masters course. You can avail a Zero Cost EMI for 6 months if 1)	You live in any of the 5 cities: New Delhi; Mumbai; Kolkata; Bangalore; Chennai.;2)	You have an HDFC or ICICI credit card.;3)            You have a monthly income more than INR 15000"
What about installments?,Many industry level projects shall be discussed in the class and many shall be given to you to solve on your own
Can we pay course fee through installments?,We have various well qualified SMEs who are real life data scientists. They will be taking your classes
what about projects?,We have various well qualified SMEs who are real life data scientists. They will be taking your classes
Who will be our mentors?,We have various well qualified SMEs who are real life data scientists. They will be taking your classes
who will take the classes?,We have various well qualified SMEs who are real life data scientists. They will be taking your classes
Who will be taking the classes?,We have various well qualified SMEs who are real life data scientists. They will be taking your classes
Who will be teaching the batches?,We have various well qualified SMEs who are real life data scientists. They will be taking your classes
what about mentors or teachers?,We have various well qualified SMEs who are real life data scientists. They will be taking your classes
who takes the batches for Deep Learning?,We have various well qualified SMEs who are real life data scientists. They will be taking your classes
Who will takethe  classes for DL masters?,We have various well qualified SMEs who are real life data scientists. They will be taking your classes
who takes the classes for Deep Learning?,We have various well qualified SMEs who are real life data scientists. They will be taking your classes
who takes the batches for DL?,We have both online and offline batches as per your need.
who takes the classes for DL?,We have both online and offline batches as per your need.
Are the courses Online or offline?,We have both online and offline batches as per your need.
Are the batches Online or offline?,We have sent an email to the support team. They are going to contact you with all these details
Online teaching mode or offline teaching?,We have sent an email to the support team. They are going to contact you with all these details
timing for weekday batches,We have sent an email to the support team. They are going to contact you with all these details
what is timing for weekday batches,We have sent an email to the support team. They are going to contact you with all these details
what are the timings of courses?,We have sent an email to the support team. They are going to contact you with all these details
what are the timings of the batches?,1. You'll get free lifetime acces to the material.;2. Live mentoring and doubt clearing;3. Recorded sessions in your dashboard if you miss the class;4. Industry project discussions;5. Resume Preparation;6. Moc interviews
what about course timings?,You can pay in full or in installments based on the course that you select. You'll get a call from the support tem soon.After your conversation with our support team you'll get a payment link. You can click that link and do the payment.
What are the other things we can get from this course,You can pay in full or in installments based on the course that you select. You'll get a call from the support tem soon.After your conversation with our support team you'll get a payment link. You can click that link and do the payment.
what are the payment options?,A refund is only provided till one month of joining
Where we have to pay?,For the affordable AI courses the strength generally is around 800. For Datascience masters the stenth is not more than 50
what if i want to stop attending the course,For the affordable AI courses the strength generally is around 800. For Datascience masters the stenth is not more than 50
how many members are going to join,For the affordable AI courses the strength generally is around 800. For Datascience masters the stenth is not more than 50
What will be the number of people in the batch?,For the affordable AI courses the strength generally is around 800. For Datascience masters the stenth is not more than 50
What will be the number of people in the course?,Yes a basic understandinhg of the Mathematical concepts is necessary for understanding the algorithms.
batch strength?,An email with your details have already been sent to the support team. They are going to contact you soon with all the information.
Did we need to learn statistics as well?,An email with your details have already been sent to the support team. They are going to contact you soon with all the information.
What is the process of joining offline courses?,An email with your details have already been sent to the support team. They are going to contact you soon with all the information.
What is the process of joining online courses?,An email with your details have already been sent to the support team. They are going to contact you soon with all the information.
How to join online batch?,We are responsible for building your resume. So a well-structured plan will be drawn out for each candidate resume concerning years of experience; projects and technology.
How to join offline batch?,We are responsible for building your resume. So a well-structured plan will be drawn out for each candidate resume concerning years of experience; projects and technology.
you will develop our resume?,We'll conduct atleast 3 mock interviews for candidates just like the original job interview.
Will you help with my resume building,We'll conduct atleast 3 mock interviews for candidates just like the original job interview.
what about interviews?,Both the modes have equal quality of the content delivered. As per your convenience you can choose any of those.
Do you conduct inerview sessions also?,Both the modes have equal quality of the content delivered. As per your convenience you can choose any of those.
Which mode is good? Online or offline?,There will be dedicated doubt clearing session for each of the batches for live doubt clearing. You can share your screen and ask your queries. You can also send your queries from the student dashboard
What is good? Online or offline?,There will be dedicated doubt clearing session for each of the batches for live doubt clearing. You can share your screen and ask your queries. You can also send your queries from the student dashboard
to whom i can ask my study related doubts?,There will be dedicated doubt clearing session for each of the batches for live doubt clearing. You can share your screen and ask your queries. You can also send your queries from the student dashboard
who will clear our doubts?,Because the DSM course has only 40-50 students. So the attention to individual candidates is more. And it is a combination of all the courses that we provide.
How will the doubt clearing session take place?,Because the DSM course has only 40-50 students. So the attention to individual candidates is more. And it is a combination of all the courses that we provide.
why other courses are for 3k and data science masters is for 40k,Because the DSM course has only 40-50 students. So the attention to individual candidates is more. And it is a combination of all the courses that we provide.
why nlp masters is so cheap compared to datascience masters,Yes you can. The team will reachout to you and you can discuss your schedule with them.
why other courses are for 3000 rupees and data science masters is for 40000 Rupees?,Yes. The fees won't change.
if i don't have time now but i want to join it later?,The GST is 18 % as per the Government Regulations
I want to join next month. Do I have to pay same money,The GST is 18 % as per the Government Regulations
how much gst we have to pay?,The GST is 18 % as per the Government Regulations
How much GST is being charged?,When compared to other programming languages Python is a bit easier to understand
What is the GST in course fee?,All the details are there in the syllabus sent to you. You can visit this link as well: https://ux.ineuron.ai/casestudies.php
Is python a tough language?,All the details are there in the syllabus sent to you. You can visit this link as well: https://ux.ineuron.ai/casestudies.php
what about case studies,Our Head Office is in Bangalore India. Please check our website for the complete address
Do you provide case studies too?,Our Head Office is in Bangalore India. Please check our website for the complete address
Where is the office located,An email with all the details have been sent to your email.
send me the location of the office,An email with all the details have been sent to your email.
show me the curriculum for data science masters,An email with all the details have been sent to your email.
show me the curriculum,An email has been sent to the Support Team with your contact information. You'll be contacted soon.
Show me the syllabus,An email has been sent to the Support Team with your contact information. You'll be contacted soon.
when is the next batch starting?,Yes. All the matreials and assignments will be uploaded to your dashboard.
What is the schedule for next batch?,Yes. All the matreials and assignments will be uploaded to your dashboard.
do you provide any study materials,Please take your time. The support team will be in touch with you.
do you provide any course materials,The support team is going to call you soon with all the details
i want some time to think about joining,Yes. The support team is going to call you soon.
when i can join the course,The support team is going to call you soon with all the details
can i join the course?,It's Okay. The support team will call you to get a feedback.
What is the procedure to join the course?,We have both the options. The suuport team is soon going to call you and your dquestions shall  be answered.
I don't want to join the course,No. There are no hidden charges.
classes will be in morning or evening?,No. There are no hidden charges.
is there any additional fees,The support team is going to call you soon. You can ask them all your doubts.
Are you going to charge anything extra?,The support team is going to call you soon. You can ask them all your doubts.
I have a doubt regarding fee,Yes there are a lot of assignments and projects in all the courses.
I have some queries about fees,The curriclulum is explained using hands-on codes.
Do we have any assignments and projects,
Do we have hands on sessions,
